id,old_path,is_permanent,redirect_link,redirect_page_id,site_id
105,/l/fermentation2,t,https://instruct1.cit.cornell.edu/Courses/biomi290/MOVIES/GLYCOLYSIS.HTML,,
106,/l/divisn_newtcell,t,http://labs.bio.unc.edu/Salmon/mitosis/mitosismovies.html,,
107,/l/cell_checkpnts2,t,http://outreach.mcb.harvard.edu/animations/checkpoints.swf,,
108,/l/cancer2,t,http://www.khanacademy.org/science/biology/v/cancer,,
109,/l/thigmonasty,t,http://commons.wikimedia.org/wiki/File:Mimosa_pudica_leaves_folding_when_touched_3.ogv,,
110,/l/rotating_DNA2,t,http://en.wikipedia.org/wiki/File:ADN_animation.gif,,
111,/l/fungi_kingdom,t,http://www.wisc-online.com/Objects/ViewObject.aspx?ID=bio304,,
112,/l/lichenland,t,http://ocid.nacse.org/lichenland/index.php,,
113,/l/lichen_monitrng,t,http://gis.nacse.org/lichenair/index.php,,
114,/l/isotopes,t,http://phet.colorado.edu/en/simulation/isotopes-and-atomic-mass,,
115,/l/ice_lattice,t,http://www.janewhitney.com/Ice_Movie_Resources/ice_movie.mov,,
116,/l/about_water,t,http://ga.water.usgs.gov/edu,,
117,/l/photosynthesis2,t,http://leavingbio.net/PHOTOSYNTHESIS.htm,,
118,/l/light_reaction2,t,http://dendro.cnre.vt.edu/forestbiology/photosynthesis.swf,,
119,/l/calvin_cycle2,t,http://www.science.smith.edu/departments/Biology/Bio231/calvin.html,,
120,/l/animal_meiosis2,t,http://www.cellsalive.com/meiosis.htm,,
121,/l/how_cells_dvid2,t,http://www.pbs.org/wgbh/nova/miracle/divide.html,,
122,/l/down_syndrome2,t,http://www.muschealth.com/video/Default.aspx?videoId=10103&cId=4&type=rel,,
123,/l/fermentation,t,https://courses.cit.cornell.edu/biomi290/z.OldWebSite/MOVIES/GLYCOLYSIS.HTML,,
125,/l/DNA_packaging,t,http://www.dnalc.org/resources/3d/08-how-dna-is-packaged-advanced.html,,
126,/l/DNAreplication,t,http://www.johnkyrk.com/DNAreplication.html,,
127,/l/create_protein2,t,http://learn.genetics.utah.edu/content/begin/dna/transcribe/,,
128,/l/tree_of_life,t,http://itol.embl.de,,
129,/l/classify_life,t,http://www.pbs.org/wgbh/nova/nature/classifying-life.html,,
130,/l/relationships,t,http://archive.peabody.yale.edu/exhibits/treeoflife/phylo.html,,
131,/l/using_parsimony,t,http://evolution.berkeley.edu/evolibrary/article/usingparsimony_01,,
132,/l/transgenic,t,http://www.learner.org/courses/biology/archive/animations/hires/a_gmo3_h.html,,
133,/l/DNA_extraction,t,http://learn.genetics.utah.edu/content/labs/extraction/,,
134,/l/OMIM2,t,http://omim.org/,,
135,/l/food_web3,t,http://yahoo.com,,
136,/l/cell_sizes2,t,http://www.cellsalive.com/howbig.htm,,
137,/l/passive_trnsprt,t,http://www.youtube.com/watch?v=JShwXBWGMyY,,
138,/l/dispersion2,t,http://commons.wikimedia.org/wiki/File:Dispersion.gif,,
139,/l/endocytosis2,t,http://telstar.ote.cmu.edu/biology/animation/Endocytosis/endocytosis.html,,
140,/l/growing_planet,t,http://www.youtube.com/watch?v=1VNt0mwStZI,,
143,/l/fern_life_cycle,t,https://smartsite.ucdavis.edu/access/content/user/00002950/bis10v/media/ch15/fern_life_cycle_v2.html,,
144,/l/fiddleheads,t,http://www.gardenguides.com/video-56947-fiddleheads-ferns-indicate-species.html,,
145,/l/charophytes,t,http://www.skidmore.edu/academics/biology/CGA/introduction.html,,
150,/l/mendels_peas2,t,http://www2.edc.org/weblabs/mendel/MendelMenu.html,,
151,/l/sex-linkd_trts2,t,http://www.khanacademy.org/science/biology/v/sex-linked-traits,,
152,/l/eye_color_calc2,t,http://www.athro.com/evo/inherit.html,,
153,/l/food_web,t,http://www.learner.org/courses/envsci/interactives/ecology/food_web.php,,
154,/l/biogeochemical,t,http://www.learningscience.org/esc3bgeochemicalcycles.htm,,
155,/l/growing_planet2,t,http://www.youtube.com/watch?v=1VNt0mwStZI,,
156,/l/fern_life_cycl2,t,https://smartsite.ucdavis.edu/access/content/user/00002950/bis10v/media/ch15/fern_life_cycle_v2.html,,
157,/l/gymnosperm,t,http://www.youtube.com/watch?v=D9byVQxvMXs,,
158,/l/welwitschia,t,http://www.youtube.com/watch?v=PVLACJsoGjk,,
159,/l/pollinators,t,http://www.fs.fed.us/wildflowers/pollinators/index.shtml,,
160,/l/biomes,t,http://videos.howstuffworks.com/science/biomes-videos-playlist.htm#video-28106,,
162,/l/coral_organisms,t,http://oceanexplorer.noaa.gov/edu/oceanage/03etnoyer/welcome.html,,
163,/l/plant_mineral,t,http://www.kscience.co.uk/animations/minerals.htm,,
164,/l/soil_survey_map,t,http://casoilresource.lawr.ucdavis.edu/gmap/,,
166,/l/botany_wo_bord,t,http://www.botany.org/botany-without-borders.php,,
167,/l/motion_plants,t,http://www.bbc.co.uk/nature/collections/p0085nk0,,
168,/l/ancient_crop,t,http://www.sciencefriday.com/video/05/14/2009/finding-the-roots-of-an-ancient-crop.html,,
169,/l/plants_cool_too,t,http://www.botany.org/botany-without-borders.php,,
170,/l/venus_flytrap,t,http://www.youtube.com/watch?v=O7eQKSf0LmY,,
171,/l/basic_photosyn,t,http://www.learnerstv.com/animation/animation.php?ani=179&cat=biology,,
172,/l/plnts_n_motion,t,http://plantsinmotion.bio.indiana.edu/plantmotion/starthere.html,,
173,/l/nastic_mvmt,t,http://plantsinmotion.bio.indiana.edu/plantmotion/movements/nastic/nastic.html,,
174,/l/chegg_soci,t,http://www.chegg.com/etextbooks/introduction-to-sociology-1st-edition-9781938168055-1938168054?trackid=9aa84ba3&ii=1&om_ss=1,,
175,/l/chegg_physics,t,http://www.chegg.com/etextbooks/college-physics-1st-edition-9781938168048-1938168046?trackid=c4c69874&ii=5,,
176,/l/holiday_video,t,http://www.youtube.com/watch?v=qI1dcu-DDbI&list=UUTfdV8sd55iADYCicIJ8JKA&index=1,,
177,/l/light_reactions,t,http://dendro.cnre.vt.edu/forestbiology/photosynthesis.swf,,
178,/l/calvin_cycle,t,http://www.science.smith.edu/departments/Biology/Bio231/calvin.html,,
179,/l/photosynthesis,t,http://leavingbio.net/PHOTOSYNTHESIS.htm,,
180,/l/pollen_release,t,http://www.youtube.com/watch?v=7SL76MaFjJ0,,
181,/l/angiosperms,t,http://www.youtube.com/watch?v=bUjVHUf4d1I,,
182,/l/pollination,t,http://passel.unl.edu/pages/animation.php?a=flowerbreeding.swf,,
183,/l/saving_life,t,http://www.ted.com/talks/e_o_wilson_on_saving_life_on_earth.html,,
